gene_name,gene_id,n_exons,total_count
RPL15,ENSG00000174748,65,1584080
ENC1,ENSG00000171617,32,1580076
ABI2,ENSG00000138443,123,1554803
ZEB2,ENSG00000169554,108,1552162
CHN1,ENSG00000128656,91,1544954
SRRM2,ENSG00000167978,70,1543951
DPYSL2,ENSG00000092964,27,1514091
AP2M1,ENSG00000161203,87,1509490
PPIA,ENSG00000196262,46,1504398
MAP4K4,ENSG00000071054,102,1496677
EPB41L1,ENSG00000088367,143,1494168
KIF1B,ENSG00000054523,93,1486452
ADAR,ENSG00000160710,92,1482407
SLC25A6,ENSG00000169100,62,1481034
MAPT,ENSG00000186868,85,1469686
SNORD3C,ENSG00000264940,1,1469668
FBXL16,ENSG00000127585,17,1460095
CSRP1,ENSG00000159176,52,1458381
ALDOA,ENSG00000149925,49,1446230
ATP6V0A1,ENSG00000033627,109,1437426
SLC6A1,ENSG00000157103,95,1426543
YWHAZ,ENSG00000164924,69,1420836
CD59,ENSG00000085063,63,1419770
SORT1,ENSG00000134243,62,1407592
LZTS3,ENSG00000088899,64,1406653
PKD1,ENSG00000008710,131,1396621
PLD3,ENSG00000105223,138,1396112
CD81,ENSG00000110651,63,1393407
ENSG00000291233,ENSG00000291233,185,1392436
GDI1,ENSG00000203879,59,1392382
KIF5C,ENSG00000168280,67,1391541
HNRNPA3,ENSG00000170144,146,1391218
DDX3X,ENSG00000215301,149,1383962
PLEC,ENSG00000178209,54,1378398
PDE4DIP,ENSG00000178104,176,1376722
DNM1,ENSG00000106976,86,1361121
CALM2,ENSG00000143933,36,1360574
NFASC,ENSG00000163531,79,1359581
NRGN,ENSG00000154146,15,1355307
CAMK2B,ENSG00000058404,204,1351375
CTSD,ENSG00000117984,60,1350898
SCD,ENSG00000099194,16,1344979
PAFAH1B1,ENSG00000007168,93,1340575
P4HB,ENSG00000185624,150,1334425
STMN1,ENSG00000117632,62,1332743
HNRNPA1,ENSG00000135486,116,1329561
TP53INP2,ENSG00000078804,37,1317048
ABR,ENSG00000159842,102,1313601
PIK3R1,ENSG00000145675,91,1311342
PTPN11,ENSG00000179295,65,1309390
SYNGR1,ENSG00000100321,34,1303909
NFE2L1,ENSG00000082641,66,1288334
TUBA1B-AS1,ENSG00000258017,24,1279104
CTNNB1,ENSG00000168036,147,1276440
CST3,ENSG00000101439,13,1273709
MTND2P28,ENSG00000225630,1,1273244
HIPK2,ENSG00000064393,24,1271101
MATR3,ENSG00000015479,143,1265260
FAIM2,ENSG00000135472,32,1254008
MIAT,ENSG00000225783,98,1250891
DAAM2,ENSG00000146122,67,1240202
ENO1,ENSG00000074800,87,1229316
MORF4L2,ENSG00000123562,120,1226474
MAP1A,ENSG00000166963,9,1224268
MT3,ENSG00000087250,14,1222343
SPP1,ENSG00000118785,51,1217912
FGF1,ENSG00000113578,75,1216084
CCNI,ENSG00000118816,54,1216005
PAQR6,ENSG00000160781,49,1212843
MTATP6P1,ENSG00000248527,1,1208629
BSCL2,ENSG00000168000,117,1205255
BSG,ENSG00000172270,56,1204379
ARF3,ENSG00000134287,56,1203181
MTCH1,ENSG00000137409,65,1196920
RPL4,ENSG00000174444,66,1193936
EIF4A2,ENSG00000156976,72,1185724
CSDE1,ENSG00000009307,165,1182855
MYO5A,ENSG00000197535,121,1182005
PLEKHB1,ENSG00000021300,48,1180999
GAS7,ENSG00000007237,48,1175991
SEPTIN4,ENSG00000108387,71,1170889
CLTC,ENSG00000141367,105,1169683
RN7SKP255,ENSG00000200312,1,1163759
ATP1B1,ENSG00000143153,45,1161396
MOBP,ENSG00000168314,44,1160447
SPARC,ENSG00000113140,82,1158846
CIRBP,ENSG00000099622,105,1157415
H3-3B,ENSG00000132475,48,1156608
GNAO1,ENSG00000087258,67,1152817
CCDC88A,ENSG00000115355,173,1147414
HSPA1A,ENSG00000204389,3,1147344
TRIM2,ENSG00000109654,86,1145039
NRCAM,ENSG00000091129,89,1136619
DGKZ,ENSG00000149091,108,1135265
SNN,ENSG00000184602,31,1126744
APLP2,ENSG00000084234,100,1113753
CDIP1,ENSG00000089486,74,1111677
RPLP1,ENSG00000137818,31,1104289
PHYHIP,ENSG00000168490,24,1103669
NDRG1,ENSG00000104419,98,1101437
RTN4,ENSG00000115310,40,1089860
CTBP1,ENSG00000159692,121,1083858
LIMCH1,ENSG00000064042,191,1083214
ARHGAP21,ENSG00000107863,75,1078195
PREPL,ENSG00000138078,97,1074196
UCHL1,ENSG00000154277,38,1063425
ENSG00000277437,ENSG00000277437,1,1059873
BCAS1,ENSG00000064787,46,1053160
CHST1,ENSG00000175264,51,1052831
PPP1CB,ENSG00000213639,79,1052363
GUK1,ENSG00000143774,93,1052183
GRIN1,ENSG00000176884,44,1048355
DAG1,ENSG00000173402,99,1045803
OAZ1,ENSG00000104904,41,1045009
SEPTIN5,ENSG00000184702,42,1043852
GRIA2,ENSG00000120251,104,1043736
ATG13,ENSG00000175224,136,1036326
RPL19,ENSG00000108298,47,1034186
NRXN1,ENSG00000179915,171,1033103
KLC1,ENSG00000126214,84,1031168
RHOA,ENSG00000067560,68,1029715
LPAR1,ENSG00000198121,80,1028633
SEPTIN2,ENSG00000168385,176,1022145
GPRASP1,ENSG00000198932,50,1020196
TPI1,ENSG00000111669,46,1017892
LRP1,ENSG00000123384,114,1015512
G3BP2,ENSG00000138757,156,1014039
PRKAR1B,ENSG00000188191,73,1009872
NSMF,ENSG00000165802,58,1009325
DCTN1,ENSG00000204843,98,1000060
ENO2,ENSG00000111674,51,1000006
USP22,ENSG00000124422,46,999970
SERINC1,ENSG00000111897,31,998011
MEF2A,ENSG00000068305,156,996951
DDR1,ENSG00000204580,195,996015
MT-ND6,ENSG00000198695,1,990777
PI4KA,ENSG00000241973,116,987828
ENSG00000264063,ENSG00000264063,1,984368
RPSA,ENSG00000168028,69,980435
TF,ENSG00000091513,47,977294
EEF1A2,ENSG00000101210,51,976454
SV2B,ENSG00000185518,45,974326
EPN1,ENSG00000063245,117,973592
COX4I1,ENSG00000131143,63,973531
AQP4,ENSG00000171885,23,970364
PRNP,ENSG00000171867,19,968476
TUBB2B,ENSG00000137285,11,962274
PCBP2,ENSG00000197111,105,958560
TOM1L2,ENSG00000175662,66,956760
RANGAP1,ENSG00000100401,113,949828
MPRIP,ENSG00000133030,64,947305
QDPR,ENSG00000151552,42,942649
LINC-PINT,ENSG00000231721,366,939916
OIP5-AS1,ENSG00000247556,130,937315
SCRN1,ENSG00000136193,41,934635
SRSF5,ENSG00000100650,94,933380
NCDN,ENSG00000020129,23,932583
SLC17A7,ENSG00000104888,30,930567
PEBP1,ENSG00000089220,16,929486
KIAA0930,ENSG00000100364,53,925100
SCARB2,ENSG00000138760,76,922913
NCL,ENSG00000115053,93,921443
UBE2D3,ENSG00000109332,142,921289
KCNQ2,ENSG00000075043,106,916538
ZBTB38,ENSG00000177311,104,914593
RPS2,ENSG00000140988,56,914406
HDLBP,ENSG00000115677,214,912143
RMRP,ENSG00000277027,1,912093
ALDOC,ENSG00000109107,40,911686
ARF1,ENSG00000143761,74,910204
TPP1,ENSG00000166340,83,907292
SNRNP70,ENSG00000104852,59,906239
ENSG00000309609,ENSG00000309609,8,903060
ENSG00000291003,ENSG00000291003,170,898095
MYRF,ENSG00000124920,69,897772
CFL1,ENSG00000172757,36,893268
CLIP2,ENSG00000106665,64,892667
CNBP,ENSG00000169714,80,887138
PINK1,ENSG00000158828,40,885191
IL6ST,ENSG00000134352,67,883318
SYNE1,ENSG00000131018,244,883123
SNCB,ENSG00000074317,56,871782
ERBIN,ENSG00000112851,88,869888
YWHAB,ENSG00000166913,66,865900
SARAF,ENSG00000133872,47,865001
B3GAT1,ENSG00000109956,26,864137
PDXK,ENSG00000160209,58,860236
RNU4-2,ENSG00000202538,1,855917
CCDC92,ENSG00000119242,90,854995
ZNF664,ENSG00000179195,89,853133
HMGB1,ENSG00000189403,80,851229
PRRC2B,ENSG00000288701,49,849352
CPE,ENSG00000109472,25,849251
MAP7D1,ENSG00000116871,70,847106
RPL37A,ENSG00000197756,37,846128
PHLDB1,ENSG00000019144,109,842876
PRKAR1A,ENSG00000108946,56,841749
HPCAL1,ENSG00000115756,134,839426
MT-ND4L,ENSG00000212907,1,839038
CTIF,ENSG00000134030,83,836095
CDK18,ENSG00000117266,101,835067
BEX3,ENSG00000166681,36,834850
TACC1,ENSG00000147526,107,833835
PACS2,ENSG00000179364,113,833634
NORAD,ENSG00000260032,8,824935
WASH7P,ENSG00000227232,171,819503
CTNNA1,ENSG00000044115,183,819312
ATP1A3,ENSG00000105409,54,817763
RPL10,ENSG00000147403,51,817062
RAB7A,ENSG00000075785,86,816460
KIF1C,ENSG00000129250,76,814796
LMO3,ENSG00000048540,106,813738
WASH9P,ENSG00000279457,170,813280
DLG2,ENSG00000150672,126,812552
BASP1,ENSG00000176788,16,809973
OGA,ENSG00000198408,62,809817
CYFIP2,ENSG00000055163,111,809591
GABBR1,ENSG00000204681,64,808278
STMN3,ENSG00000197457,18,808092
MIR9-1HG,ENSG00000125462,182,803767
FEZ1,ENSG00000149557,83,801222
NCAM1,ENSG00000149294,74,800315
NPIPA6,ENSG00000183889,63,797696
