gene_name,gene_id,n_exons,total_count
ENSG00000254741,ENSG00000254741,2,15614
CAVIN2-AS1,ENSG00000233766,55,15609
GSTT2B,ENSG00000133433,16,15592
SENP3-EIF4A1,ENSG00000277957,21,15589
MAPK8IP1P1,ENSG00000262500,1,15588
TULP3,ENSG00000078246,32,15582
ERI1,ENSG00000104626,40,15580
ENSG00000310528,ENSG00000310528,12,15574
EXOC8,ENSG00000116903,1,15572
LNP1,ENSG00000206535,22,15572
SLC24A1,ENSG00000074621,36,15569
SDSL,ENSG00000139410,60,15565
RPS3AP5,ENSG00000178429,1,15564
DSC2,ENSG00000134755,56,15562
HEMK2,ENSG00000156239,13,15557
ENSG00000280234,ENSG00000280234,1,15555
GDPD1,ENSG00000153982,24,15545
ZNF169,ENSG00000175787,22,15542
ENSG00000280138,ENSG00000280138,1,15542
TSNAXIP1,ENSG00000102904,49,15542
ETHE1,ENSG00000105755,33,15537
WNT3,ENSG00000108379,27,15533
IRAK2,ENSG00000134070,24,15525
RN7SKP230,ENSG00000202512,1,15522
PRDX4,ENSG00000123131,23,15522
ENSG00000303689,ENSG00000303689,61,15505
ENSG00000294430,ENSG00000294430,8,15501
SGF29,ENSG00000176476,33,15489
RERG,ENSG00000134533,26,15486
ENSG00000302351,ENSG00000302351,12,15484
PCDHGB2,ENSG00000253910,5,15476
ENTPD2,ENSG00000054179,21,15475
WARS2-AS1,ENSG00000231365,32,15474
THUMPD2,ENSG00000138050,38,15472
MARCHF9,ENSG00000139266,8,15469
ZC3H10,ENSG00000135482,18,15460
N4BP2,ENSG00000078177,34,15457
WDR62,ENSG00000075702,97,15452
CHMP3-AS1,ENSG00000228363,18,15445
LINC00499,ENSG00000251372,87,15444
TET1,ENSG00000138336,19,15438
SLC2A12,ENSG00000146411,11,15436
STK32A,ENSG00000169302,34,15427
NINJ2-AS1,ENSG00000177406,23,15427
TICAM1,ENSG00000127666,4,15427
NPY5R,ENSG00000164129,40,15416
CIB2,ENSG00000136425,31,15413
ICAM1,ENSG00000090339,20,15413
ASMER1,ENSG00000281903,51,15405
FBXO6,ENSG00000116663,23,15404
ZNF8-DT,ENSG00000268516,20,15395
CHRM1-AS1,ENSG00000257002,7,15394
LINC01963,ENSG00000260804,3,15389
ENSG00000291024,ENSG00000291024,42,15382
ENSG00000259460,ENSG00000259460,50,15377
ISOC1,ENSG00000066583,14,15376
RPL22P1,ENSG00000213178,1,15374
MRPS31,ENSG00000102738,25,15373
ENSG00000310577,ENSG00000310577,5,15372
ENSG00000285779,ENSG00000285779,6,15364
CDH9,ENSG00000113100,20,15361
ENSG00000309292,ENSG00000309292,2,15361
BLOC1S5,ENSG00000188428,22,15360
ISG20,ENSG00000172183,42,15357
ENSG00000228830,ENSG00000228830,2,15356
ENSG00000280334,ENSG00000280334,1,15356
ERI2,ENSG00000196678,39,15356
COX8A,ENSG00000176340,2,15350
H3P16,ENSG00000178458,1,15348
MARCHF6-DT,ENSG00000259802,19,15348
CA5B,ENSG00000169239,30,15347
ANKRD18B,ENSG00000230453,35,15345
DLGAP1-AS4,ENSG00000263878,35,15340
ENSG00000293772,ENSG00000293772,55,15336
ANKUB1,ENSG00000206199,26,15335
WDFY4,ENSG00000128815,74,15335
GLA,ENSG00000102393,37,15330
MIR646HG,ENSG00000228340,236,15327
ABCA11P,ENSG00000251595,8,15299
ZNF593OS,ENSG00000236782,18,15295
ENSG00000295459,ENSG00000295459,4,15293
KDR,ENSG00000128052,38,15292
HSF2,ENSG00000025156,20,15290
GPR12,ENSG00000132975,5,15289
ASIC2,ENSG00000108684,18,15289
FLJ40194,ENSG00000177369,59,15288
NPY,ENSG00000122585,11,15287
CDHR3,ENSG00000128536,51,15285
TSKU,ENSG00000182704,27,15284
ENSG00000293904,ENSG00000293904,21,15278
PNMA5,ENSG00000198883,8,15258
DRAIC,ENSG00000245750,208,15255
PLCG1-AS1,ENSG00000226648,17,15253
ZIC2,ENSG00000043355,10,15249
ZNF790-AS1,ENSG00000267254,32,15242
ZKSCAN3,ENSG00000189298,15,15237
NEDD4,ENSG00000069869,67,15232
ENSG00000237188,ENSG00000237188,41,15224
KBTBD12,ENSG00000187715,22,15222
DUSP12,ENSG00000081721,23,15220
HTR1D,ENSG00000179546,29,15219
ENSG00000273507,ENSG00000273507,24,15218
STIMATE-MUSTN1,ENSG00000248592,15,15213
SWT1,ENSG00000116668,54,15211
ILF3-DT,ENSG00000267100,5,15211
SCART1,ENSG00000214279,32,15208
GOLGA6L10,ENSG00000278662,14,15204
ABHD17AP1,ENSG00000198658,2,15203
TDG,ENSG00000139372,30,15198
CD40,ENSG00000101017,57,15191
ENSG00000278977,ENSG00000278977,1,15188
DGAT2,ENSG00000062282,31,15180
NPIPB8,ENSG00000255524,12,15178
FTH1P12,ENSG00000213362,1,15177
S100A11,ENSG00000163191,12,15173
MAML2,ENSG00000184384,5,15169
PHC1P1,ENSG00000179899,1,15151
EPB41L4A,ENSG00000129595,42,15148
RAD54L,ENSG00000085999,78,15145
ENSG00000265690,ENSG00000265690,11,15143
LINC01547,ENSG00000183250,24,15142
METTL4,ENSG00000101574,30,15138
FOXM1,ENSG00000111206,60,15130
ENSG00000258466,ENSG00000258466,8,15125
SNORA7A,ENSG00000207496,1,15124
ENSG00000304197,ENSG00000304197,19,15117
LMOD1,ENSG00000163431,5,15116
ZNF765,ENSG00000196417,29,15098
ARHGAP6,ENSG00000047648,29,15094
ENSG00000287782,ENSG00000287782,7,15080
E2F1,ENSG00000101412,15,15076
ENSG00000310259,ENSG00000310259,2,15075
RPS6KA6,ENSG00000072133,39,15064
PIGY,ENSG00000255072,2,15062
SHPK,ENSG00000197417,7,15061
MRM3,ENSG00000171861,15,15056
KCNIP1,ENSG00000182132,24,15051
NCR3LG1,ENSG00000188211,8,15045
BEND7,ENSG00000165626,50,15041
ENSG00000281571,ENSG00000281571,2,15039
ENSG00000227407,ENSG00000227407,2,15039
ENSG00000296033,ENSG00000296033,2,15038
DIAPH2,ENSG00000147202,29,15036
TRIM5,ENSG00000132256,44,15035
ENSG00000295453,ENSG00000295453,13,15034
MCU,ENSG00000156026,32,15033
MTMR11,ENSG00000014914,42,15028
TBX2,ENSG00000121068,17,15028
LINC02610,ENSG00000186235,31,15026
C2orf69,ENSG00000178074,4,15025
ENSG00000293057,ENSG00000293057,1,15020
ZNF713,ENSG00000178665,19,15017
STMP1,ENSG00000243317,11,15010
CA14,ENSG00000118298,36,15008
DDX31,ENSG00000125485,37,15005
ABHD3,ENSG00000158201,37,15004
STXBP4,ENSG00000166263,40,14978
LAMA1,ENSG00000101680,88,14978
PNPLA4,ENSG00000006757,35,14973
EMC9,ENSG00000100908,25,14971
CCDST,ENSG00000236427,78,14970
ARL6,ENSG00000113966,25,14967
FGF17,ENSG00000158815,11,14964
FAM47E,ENSG00000189157,34,14950
ENSG00000280649,ENSG00000280649,2,14944
ENSG00000289001,ENSG00000289001,1,14938
FRMPD2B,ENSG00000150175,32,14937
SLC44A3-AS1,ENSG00000224081,75,14921
ENSG00000291081,ENSG00000291081,37,14907
ENSG00000293464,ENSG00000293464,24,14901
SDCBP2-AS1,ENSG00000234684,28,14898
CLEC18A,ENSG00000157322,32,14897
ENSG00000274642,ENSG00000274642,6,14892
RP9,ENSG00000164610,19,14892
LTV1,ENSG00000135521,26,14885
TMEM143,ENSG00000161558,38,14885
POGLUT3,ENSG00000178202,24,14881
H2AC18,ENSG00000288825,1,14871
ABCA9,ENSG00000154258,54,14868
ENSG00000287077,ENSG00000287077,13,14865
MEGF6,ENSG00000162591,73,14856
ENSG00000273275,ENSG00000273275,1,14847
OBI1,ENSG00000152193,11,14837
LAMC3,ENSG00000050555,49,14825
YWHAH-AS1,ENSG00000128254,30,14823
CKAP2,ENSG00000136108,27,14819
GMNN,ENSG00000112312,39,14817
RCAN3,ENSG00000117602,26,14816
ENSG00000299773,ENSG00000299773,2,14815
ENSG00000285816,ENSG00000285816,20,14813
C7,ENSG00000112936,62,14812
ENSG00000310101,ENSG00000310101,28,14811
SEPTIN1,ENSG00000180096,32,14810
TMEM254-AS1,ENSG00000230091,48,14809
ENSG00000288922,ENSG00000288922,41,14808
ENSG00000285641,ENSG00000285641,12,14807
ENSG00000273259,ENSG00000273259,8,14805
BTBD3-AS1,ENSG00000236526,6,14805
PABPC1L,ENSG00000101104,57,14804
DGUOK-AS1,ENSG00000237883,66,14799
RNF135,ENSG00000181481,27,14798
ZNF678,ENSG00000181450,14,14796
ALDH1L1-AS2,ENSG00000246022,16,14794
ENSG00000275297,ENSG00000275297,38,14793
P2RX5-TAX1BP3,ENSG00000257950,15,14789
TMPO-AS1,ENSG00000257167,11,14774
HTR5A-AS1,ENSG00000220575,8,14768
PRDX6-AS1,ENSG00000203739,30,14763
MED20,ENSG00000124641,23,14757
CEP250-AS1,ENSG00000230155,25,14752
PAK1IP1,ENSG00000111845,26,14751
ANGPTL6,ENSG00000130812,23,14747
GMDS,ENSG00000112699,36,14741
RAB9B,ENSG00000123570,8,14741
PLEKHG4,ENSG00000196155,69,14741
TMPPE,ENSG00000188167,4,14740
ENSG00000250643,ENSG00000250643,34,14739
ENSG00000308230,ENSG00000308230,11,14738
ENSG00000301975,ENSG00000301975,4,14736
SLC1A5,ENSG00000105281,23,14736
RPL21P53,ENSG00000244021,1,14726
GPR135,ENSG00000181619,8,14715
CPVL,ENSG00000106066,74,14708
UCHL3,ENSG00000118939,26,14708
RPL14P1,ENSG00000139239,1,14707
ZNF501,ENSG00000186446,18,14706
COL21A1,ENSG00000124749,52,14701
FTH1P3,ENSG00000213453,1,14695
LILRB4,ENSG00000186818,52,14693
NPNT,ENSG00000168743,54,14680
ENSG00000295981,ENSG00000295981,15,14678
TOE1,ENSG00000132773,28,14677
ENSG00000285599,ENSG00000285599,2,14660
PXMP2,ENSG00000176894,21,14657
ENSG00000280128,ENSG00000280128,1,14656
ZNF280B,ENSG00000275004,9,14656
STON1,ENSG00000243244,35,14649
WASH4P,ENSG00000234769,9,14645
ATP2B1-AS1,ENSG00000271614,91,14644
CAV1,ENSG00000105974,23,14643
MFF-DT,ENSG00000236432,51,14642
MAMDC2-AS1,ENSG00000204706,111,14637
RSPH9,ENSG00000172426,17,14636
ENSG00000237938,ENSG00000237938,10,14631
SLC25A35,ENSG00000125434,26,14630
LINC00595,ENSG00000230417,103,14629
AFDN-DT,ENSG00000198221,145,14623
WAS,ENSG00000015285,46,14621
ENSG00000223502,ENSG00000223502,15,14618
CCR10,ENSG00000184451,6,14617
ENSG00000307069,ENSG00000307069,55,14616
SWI5,ENSG00000175854,21,14614
ENSG00000300506,ENSG00000300506,2,14608
PCDHGB5,ENSG00000276547,5,14600
CHRNE,ENSG00000108556,21,14586
ALDH8A1,ENSG00000118514,31,14582
NHLRC3,ENSG00000188811,13,14582
ENSG00000290574,ENSG00000290574,20,14580
SGSM2-AS1,ENSG00000263345,6,14579
ENSG00000278041,ENSG00000278041,17,14576
CLDN15,ENSG00000106404,22,14572
CCDC157,ENSG00000187860,26,14571
ENSG00000235236,ENSG00000235236,7,14570
CENPP,ENSG00000188312,11,14570
LHFPL3,ENSG00000187416,9,14560
ZNF182,ENSG00000147118,16,14559
ENSG00000260166,ENSG00000260166,11,14553
LY6E-DT,ENSG00000247317,25,14552
CPNE9,ENSG00000144550,31,14551
SLC24A3,ENSG00000185052,19,14549
IMMP1L,ENSG00000148950,52,14540
THAP6,ENSG00000174796,37,14539
ENSG00000273329,ENSG00000273329,11,14523
ZNF660,ENSG00000144792,17,14519
MASTL,ENSG00000120539,41,14517
POPDC1-AS1,ENSG00000203808,122,14513
ENSG00000229321,ENSG00000229321,23,14510
PLIN1,ENSG00000166819,31,14509
TLR5,ENSG00000187554,33,14505
ZNF221,ENSG00000159905,16,14505
ENSG00000304497,ENSG00000304497,52,14504
TMEM243,ENSG00000135185,22,14504
ENSG00000304694,ENSG00000304694,84,14501
ENSG00000296074,ENSG00000296074,26,14501
ACTL6A,ENSG00000136518,51,14500
ENSG00000310065,ENSG00000310065,104,14500
METAP1D,ENSG00000172878,32,14499
KLF4,ENSG00000136826,16,14492
MTHFD2L,ENSG00000163738,42,14491
ENSG00000151303,ENSG00000151303,27,14491
ZNF581,ENSG00000171425,16,14491
ENSG00000294712,ENSG00000294712,1,14489
MYG1-AS1,ENSG00000257605,4,14488
IRAG1-AS1,ENSG00000177112,35,14483
VIPR1-AS1,ENSG00000232354,74,14482
ENSG00000289183,ENSG00000289183,7,14479
RPL21P28,ENSG00000220749,1,14473
HCG11,ENSG00000228223,5,14470
C16orf46,ENSG00000166455,15,14461
ZNF709,ENSG00000242852,11,14457
PLEKHH2,ENSG00000152527,56,14446
ARSD,ENSG00000006756,29,14427
RIPK2,ENSG00000104312,23,14427
KLF2,ENSG00000127528,5,14425
RASGRF2-AS1,ENSG00000251450,20,14421
HUNK,ENSG00000142149,19,14421
SHROOM2,ENSG00000146950,17,14420
SLC43A1,ENSG00000149150,68,14415
TFPI,ENSG00000003436,92,14411
ENSG00000286447,ENSG00000286447,17,14405
CCDC88C,ENSG00000015133,54,14405
ENSG00000258317,ENSG00000258317,13,14403
PLAUR,ENSG00000011422,45,14401
ENSG00000298426,ENSG00000298426,2,14400
VIPR2,ENSG00000106018,30,14399
ADGRD1,ENSG00000111452,62,14398
ENSG00000255108,ENSG00000255108,5,14396
EVC,ENSG00000072840,32,14394
ENSG00000260007,ENSG00000260007,16,14386
ZNF284,ENSG00000186026,17,14386
ENSG00000290913,ENSG00000290913,16,14385
TBC1D3,ENSG00000274611,15,14384
ENSG00000285629,ENSG00000285629,5,14382
FAM114A1,ENSG00000197712,35,14381
BORCS7,ENSG00000166275,12,14376
NAAA,ENSG00000138744,35,14372
ENSG00000299210,ENSG00000299210,4,14371
NLRP3,ENSG00000162711,36,14360
CYTH4,ENSG00000100055,39,14354
DHX58,ENSG00000108771,42,14353
ENSG00000298285,ENSG00000298285,1,14351
DIPK1C,ENSG00000187773,6,14340
RPL7P23,ENSG00000244363,1,14339
RPF2,ENSG00000197498,30,14339
ENSG00000293691,ENSG00000293691,1,14335
GOLGA6L9,ENSG00000197978,12,14333
PYGO1,ENSG00000171016,8,14326
SLC35A4,ENSG00000176087,7,14325
CYB5RL,ENSG00000215883,35,14321
C3orf80,ENSG00000180044,3,14320
ENSG00000299816,ENSG00000299816,7,14320
ADGRL4,ENSG00000162618,71,14318
TMEM242,ENSG00000215712,8,14318
PGGT1B,ENSG00000164219,15,14317
TDRP,ENSG00000180190,9,14317
ENSG00000237126,ENSG00000237126,35,14309
ENSG00000279561,ENSG00000279561,1,14308
SAP30,ENSG00000164105,8,14305
TUSC7,ENSG00000243197,23,14303
ZNF524,ENSG00000171443,11,14291
ENSG00000302197,ENSG00000302197,4,14288
GCC2-AS1,ENSG00000214184,35,14271
BAMBI,ENSG00000095739,8,14267
ADCY10P1,ENSG00000161912,55,14263
TTF1,ENSG00000125482,27,14263
ENSG00000287358,ENSG00000287358,12,14262
ENSG00000279668,ENSG00000279668,24,14261
APLF,ENSG00000169621,35,14259
ANAPC1P4,ENSG00000234231,15,14238
LNX2,ENSG00000139517,34,14234
ENSG00000273151,ENSG00000273151,1,14233
SEMA3G,ENSG00000010319,23,14232
FAM174A-DT,ENSG00000247877,72,14232
FAM47E-STBD1,ENSG00000272414,17,14231
TSPAN6,ENSG00000000003,28,14231
SPN,ENSG00000197471,17,14231
FBXO38-DT,ENSG00000247199,48,14229
SNHG21,ENSG00000250988,31,14229
ADRA1B,ENSG00000170214,11,14225
MT-TT,ENSG00000210195,1,14224
ARMT1,ENSG00000146476,16,14210
GTF2B,ENSG00000137947,26,14207
NCK1-DT,ENSG00000239213,54,14207
ENSG00000261710,ENSG00000261710,35,14207
RCN3,ENSG00000142552,31,14206
OSGEPL1,ENSG00000128694,36,14204
LINC01214,ENSG00000243550,61,14197
RPAP3-DT,ENSG00000257433,49,14196
RBBP8,ENSG00000101773,65,14193
ENSG00000290792,ENSG00000290792,1,14191
KCNS3,ENSG00000170745,43,14190
SNX10-AS1,ENSG00000225792,15,14190
SFTPD,ENSG00000133661,56,14186
ENSG00000294498,ENSG00000294498,18,14184
GAS6-AS1,ENSG00000233695,6,14179
ENSG00000233928,ENSG00000233928,62,14170
ENSG00000258526,ENSG00000258526,107,14161
ENSG00000261130,ENSG00000261130,7,14159
YBEY,ENSG00000182362,42,14154
WDR25,ENSG00000176473,35,14150
TBCCD1,ENSG00000113838,32,14144
AGAP13P,ENSG00000243289,8,14142
ENSG00000274253,ENSG00000274253,17,14142
STEEP1,ENSG00000018610,15,14141
ZNF845,ENSG00000213799,10,14138
ATP11C,ENSG00000101974,45,14137
RP9P,ENSG00000205763,18,14136
RRP15,ENSG00000067533,17,14133
KATNA1,ENSG00000186625,41,14133
LRRC55,ENSG00000183908,4,14129
PEX3,ENSG00000034693,23,14126
ENSG00000293341,ENSG00000293341,4,14125
ABHD17AP5,ENSG00000263366,2,14124
NOCT,ENSG00000151014,10,14123
KRT222,ENSG00000213424,14,14123
ENSG00000294017,ENSG00000294017,27,14121
CHRM2,ENSG00000181072,31,14114
GREM2,ENSG00000180875,11,14113
FAM133A,ENSG00000179083,15,14113
ZNF18,ENSG00000154957,22,14105
SLC35F3,ENSG00000183780,9,14104
ADGRE2,ENSG00000127507,53,14104
RPL17P6,ENSG00000226084,1,14098
SPR,ENSG00000116096,12,14097
ENSG00000269693,ENSG00000269693,4,14091
LYPD6,ENSG00000187123,21,14087
ARMC7,ENSG00000125449,13,14086
ENSG00000291185,ENSG00000291185,53,14083
GNB1-DT,ENSG00000231050,35,14076
EMC6,ENSG00000127774,7,14070
ENSG00000276997,ENSG00000276997,17,14063
RSL1D1-DT,ENSG00000263307,27,14056
TASP1,ENSG00000089123,39,14055
GSK3B-DT,ENSG00000242622,44,14054
BTBD19,ENSG00000222009,27,14053
ZW10,ENSG00000086827,30,14051
RRP9,ENSG00000114767,33,14050
RPL41P2,ENSG00000256338,1,14050
ENSG00000295452,ENSG00000295452,4,14050
GPATCH3,ENSG00000198746,13,14044
BLOC1S3,ENSG00000189114,20,14044
C1QTNF3,ENSG00000082196,18,14042
XXYLT1,ENSG00000173950,32,14040
WRAP53,ENSG00000141499,46,14036
TMEM38B,ENSG00000095209,25,14027
C2orf81,ENSG00000284308,15,14025
PGAM2,ENSG00000164708,5,14024
ENSG00000283913,ENSG00000283913,54,14021
EPHA3,ENSG00000044524,32,14020
ENSG00000293321,ENSG00000293321,13,14014
ZNF304,ENSG00000131845,9,14011
ENSG00000274629,ENSG00000274629,13,14009
ENSG00000257221,ENSG00000257221,32,13997
ITGAL,ENSG00000005844,82,13996
MC1R,ENSG00000258839,10,13991
EHMT2-AS1,ENSG00000237080,7,13986
ENSG00000271793,ENSG00000271793,58,13981
CARD14,ENSG00000141527,81,13977
DLGAP1-AS2,ENSG00000262001,22,13976
LRP4-AS1,ENSG00000247675,10,13967
ZSWIM4,ENSG00000132003,26,13965
SAC3D1,ENSG00000168061,10,13963
DHRS12,ENSG00000102796,41,13961
AHRR,ENSG00000063438,34,13951
PCDHB4,ENSG00000081818,3,13936
UBE2D1,ENSG00000072401,15,13934
LCP2,ENSG00000043462,40,13933
CALML4,ENSG00000129007,16,13928
SLC25A14,ENSG00000102078,37,13924
MAS1,ENSG00000130368,4,13922
SLC2A10,ENSG00000197496,34,13920
ENSG00000286001,ENSG00000286001,24,13915
TMEM232,ENSG00000186952,53,13911
CALB1,ENSG00000104327,36,13909
TMEM74,ENSG00000164841,11,13899
MYCBP,ENSG00000214114,19,13890
EP300-AS1,ENSG00000231993,52,13889
SNORA74B,ENSG00000212402,1,13888
SNX7,ENSG00000162627,29,13881
MRPL39,ENSG00000154719,31,13877
EFCAB7,ENSG00000203965,32,13876
ENSG00000279069,ENSG00000279069,1,13872
ENSG00000260136,ENSG00000260136,15,13866
LRIF1,ENSG00000121931,10,13865
ENSG00000289473,ENSG00000289473,27,13863
ZNF630,ENSG00000221994,31,13858
RGS8,ENSG00000135824,19,13855
MKRN3,ENSG00000179455,21,13853
ENSG00000307111,ENSG00000307111,19,13853
ADAMTSL3,ENSG00000156218,47,13831
ENSG00000272770,ENSG00000272770,2,13830
FIRRM,ENSG00000000460,71,13828
DMRTC1B,ENSG00000184911,18,13824
ABTB3,ENSG00000151136,27,13804
ENSG00000294035,ENSG00000294035,8,13796
EVA1B,ENSG00000142694,8,13795
POC5,ENSG00000152359,47,13793
CREB3L4,ENSG00000143578,79,13791
SMIM10L1,ENSG00000256537,1,13791
B3GLCT,ENSG00000187676,20,13784
ALKBH8,ENSG00000137760,37,13781
PROX1-AS1,ENSG00000230461,93,13772
TAPT1-AS1,ENSG00000263327,13,13768
ZDHHC12,ENSG00000160446,31,13767
P2RY12,ENSG00000169313,10,13766
ENSG00000268575,ENSG00000268575,20,13764
FOLH1B,ENSG00000134612,39,13763
ENSG00000288823,ENSG00000288823,29,13763
ENSG00000286159,ENSG00000286159,2,13759
NYAP2,ENSG00000144460,14,13753
F13A1,ENSG00000124491,29,13753
CRPPA,ENSG00000214960,25,13751
SAAL1,ENSG00000166788,65,13751
ENSG00000288710,ENSG00000288710,18,13751
APLN,ENSG00000171388,4,13748
ADAM28,ENSG00000042980,55,13744
ENSG00000299262,ENSG00000299262,4,13741
TNFRSF11A,ENSG00000141655,27,13740
ANKRD17-DT,ENSG00000250220,38,13738
ZCWPW1,ENSG00000078487,49,13737
PTRHD1,ENSG00000184924,16,13725
ZRANB2-AS1,ENSG00000235079,9,13716
GPSM3,ENSG00000213654,20,13715
ENSG00000291029,ENSG00000291029,21,13715
DLX1,ENSG00000144355,17,13713
BBOF1,ENSG00000119636,30,13706
METTL25,ENSG00000127720,36,13704
FZD4,ENSG00000174804,2,13694
TIMM8B,ENSG00000150779,8,13690
EPOP,ENSG00000273604,1,13689
LINC01597,ENSG00000205611,47,13689
NFATC1,ENSG00000131196,39,13687
CHKB-DT,ENSG00000205559,26,13685
GPN3,ENSG00000111231,29,13683
SDK1,ENSG00000146555,59,13682
ABITRAM,ENSG00000119328,22,13678
CABP1-DT,ENSG00000256008,13,13674
PIK3AP1,ENSG00000155629,32,13670
NFATC2,ENSG00000101096,21,13664
ZNF892,ENSG00000233757,10,13657
OPA3,ENSG00000125741,5,13655
ENSG00000291051,ENSG00000291051,43,13648
ENSG00000293050,ENSG00000293050,3,13647
GIMAP1,ENSG00000213203,18,13645
SPATA6L,ENSG00000106686,48,13641
ENSG00000257060,ENSG00000257060,151,13637
KCTD18,ENSG00000155729,18,13628
ENSG00000290995,ENSG00000290995,79,13624
ENSG00000260836,ENSG00000260836,15,13617
NUDT10,ENSG00000122824,4,13612
GPAT4-AS1,ENSG00000253133,4,13606
SUV39H1,ENSG00000101945,16,13601
F8A1,ENSG00000288722,1,13596
DCP1B,ENSG00000151065,34,13594
ENSG00000253678,ENSG00000253678,12,13584
RPLP0P9,ENSG00000229119,1,13583
ARRDC3-AS1,ENSG00000281357,48,13582
GABRG3,ENSG00000182256,23,13582
SH2B2,ENSG00000160999,33,13574
ENSG00000294554,ENSG00000294554,9,13573
MYOT,ENSG00000120729,31,13572
NAMA,ENSG00000271086,153,13567
LAMA3,ENSG00000053747,99,13565
FAM86B3P,ENSG00000173295,90,13561
LRCH2,ENSG00000130224,25,13560
NEMP1,ENSG00000166881,25,13558
CCDC92B,ENSG00000277200,4,13558
CD84,ENSG00000066294,25,13557
NPIPB7,ENSG00000233232,14,13553
ALDH3B1,ENSG00000006534,45,13550
DEGS2,ENSG00000168350,7,13546
NOXO1,ENSG00000196408,32,13541
GGH,ENSG00000137563,46,13539
ENSG00000240207,ENSG00000240207,19,13535
PAXIP1,ENSG00000157212,38,13532
HS3ST1,ENSG00000002587,16,13531
C2orf74-AS1,ENSG00000271889,27,13529
ULK4,ENSG00000168038,68,13526
ANKRD42-DT,ENSG00000247137,28,13520
ENSG00000266341,ENSG00000266341,2,13499
LINC03000,ENSG00000241956,102,13496
BRME1,ENSG00000132016,31,13496
RPL10P9,ENSG00000233913,1,13492
MUC6,ENSG00000184956,39,13480
RPL21P19,ENSG00000219133,1,13477
GRIN3A,ENSG00000198785,12,13476
CNGB1,ENSG00000070729,51,13474
ITGB3BP,ENSG00000142856,51,13473
SYK,ENSG00000165025,40,13471
RECK,ENSG00000122707,36,13464
ENSG00000290557,ENSG00000290557,11,13458
ZNF691,ENSG00000164011,26,13456
LINC01354,ENSG00000231768,41,13448
ZNF528-AS1,ENSG00000269834,27,13442
DNMBP,ENSG00000107554,29,13440
ENSG00000268858,ENSG00000268858,17,13440
LINC00910,ENSG00000188825,97,13435
C6orf120,ENSG00000185127,1,13427
QPCTL,ENSG00000011478,22,13418
GPR75,ENSG00000119737,2,13411
POLD3,ENSG00000077514,32,13407
MRPL54,ENSG00000183617,10,13407
RPL13AP7,ENSG00000213885,1,13404
ENSG00000286626,ENSG00000286626,27,13403
EYA2,ENSG00000064655,40,13402
CEP15,ENSG00000114405,17,13400
CYGB,ENSG00000161544,12,13399
ZNF8-ERVK3-1,ENSG00000267216,7,13392
TSTD1,ENSG00000215845,16,13382
ENSG00000286536,ENSG00000286536,45,13382
MIPEP,ENSG00000027001,35,13381
EXOSC10-AS1,ENSG00000230337,17,13379
RBM38,ENSG00000132819,13,13376
HENMT1,ENSG00000162639,28,13375
PLCD4,ENSG00000115556,50,13374
TRIM54,ENSG00000138100,31,13373
COMMD10,ENSG00000145781,26,13369
XKR6,ENSG00000171044,9,13367
LINC01088,ENSG00000249307,87,13365
SLC25A20,ENSG00000178537,21,13363
NWD2,ENSG00000174145,7,13363
PRRX1,ENSG00000116132,18,13362
UBXN8,ENSG00000104691,44,13361
YWHAZP10,ENSG00000217624,1,13357
ANKRD37,ENSG00000186352,14,13356
BBC3,ENSG00000105327,17,13354
LLPH,ENSG00000139233,9,13352
TWNK,ENSG00000107815,23,13350
MIR193BHG,ENSG00000262454,48,13347
ENSG00000250111,ENSG00000250111,4,13346
ENSG00000278291,ENSG00000278291,1,13345
ZNF684,ENSG00000117010,43,13344
LINC00471,ENSG00000181798,89,13340
TIMM8A,ENSG00000126953,12,13337
ALK,ENSG00000171094,42,13335
PDLIM1,ENSG00000107438,24,13334
C4orf33,ENSG00000151470,43,13326
RIOK1,ENSG00000124784,41,13324
INAFM2,ENSG00000259330,3,13324
DLL4,ENSG00000128917,18,13324
PPCDC,ENSG00000138621,40,13324
ZNF502,ENSG00000196653,19,13323
SPANXA2-OT1,ENSG00000277215,19,13318
ASF1A,ENSG00000111875,9,13317
RTN3P1,ENSG00000251333,1,13316
FANCE,ENSG00000112039,44,13315
LINC01709,ENSG00000226715,39,13314
PRTFDC1,ENSG00000099256,17,13313
SNIP1,ENSG00000163877,11,13311
TMEM35A,ENSG00000126950,4,13310
RPL26P19,ENSG00000226221,1,13305
TTC12,ENSG00000149292,76,13303
ENSG00000282917,ENSG00000282917,33,13300
CCDC163,ENSG00000280670,30,13299
L3MBTL3,ENSG00000198945,62,13299
ENSG00000267383,ENSG00000267383,82,13297
ENSG00000269707,ENSG00000269707,41,13296
TUNAR,ENSG00000250366,13,13296
H4C3,ENSG00000197061,1,13295
MAP9-AS1,ENSG00000250910,82,13282
KLF10,ENSG00000155090,11,13279
DUSP9,ENSG00000130829,23,13275
ISCA2,ENSG00000165898,12,13273
ENSG00000285625,ENSG00000285625,7,13270
GLRX2,ENSG00000023572,11,13269
ENSG00000259774,ENSG00000259774,27,13267
RNF139-DT,ENSG00000245149,34,13257
PGM5,ENSG00000154330,41,13255
ENSG00000295152,ENSG00000295152,5,13252
LINC01588,ENSG00000214900,226,13245
ZC3H11C,ENSG00000214558,2,13244
RCOR2,ENSG00000167771,27,13237
ZNF454,ENSG00000178187,18,13234
